英文单词,中文意思,难度
evaporate,"v.蒸发,挥发;沉淀;发射;消失",△
evidence,n.明显;显著;根据;证据;迹象,
evident,"a.明显的,明白的",
evil,"a.邪恶的,罪恶的 n.邪恶,罪恶",△
evoke,vt.唤起(回忆、感情等)；引起,▲
evolution,"n.进化,演变,发展,进展",
evolve,"v.(使)发展;(使)进化;(使)进展;发出,散发",▲
exaggerate,"v.夸大,夸张",
exceed,"v.超过,胜过;越出",▲
exceedingly,"ad.极端地,非常",▲
excel,vi.胜过其他;擅长 vt.胜过，优于,△
exception,"n.例外,除外;反对;异议",
exceptional,"a.例外的,异常的",
excerpt,n./vt.摘录;引用,▲
excess,"a.过量的,额外的 n.过量;过剩;超额;无节制",△
excessive,a.过多的;过分的;额外,△
exchange,"v./n.(for)交换,兑换;交流,交易;交换台",
exclaim,"v.呼喊,惊叫,大声说",▲
exclude,"v.拒绝,把…排除在外,排斥",△
exclusive,a.独占的;排他的;孤高的;唯一的;高级的,▲
excursion,"n.短途旅行,游览;离题;",▲
execute,v.实行;实施;执行;完成;履行;处死,
executive,"n.总经理,董事,行政负责人 a.执行的,实施的",△
exemplify,v.举例证明;示范;作...的范例,
exempt,a.免除的 v.免除 n.免税者;被免除义务者,▲
exert,"v.尽(力),施加(压力等),努力; 发挥,施以影响",▲
exhaust,"v.使筋疲力尽,耗尽;抽完 n.排气装置;废气",
exile,n.流放；被流放者 vt.流放，放逐，把…充军,▲
existence,"n.存在,实在;生存,生活(方式)",
exotic,a.奇异的;异国情调的;外(国)来的;脱衣舞的,▲
expand,"v.(使)膨胀,(使)扩张;张开,展开",
expansion,"n.扩张,膨胀;张开,伸展",
expectation,"n.预期,期望,指望",
expedition,"n.远征(队),探险(队)",▲
expel,v.把…开除;驱逐;排出;发射,▲
expenditure,"n.花费;(时间,金钱等的)支出,消耗",▲
experimental,"a.实验(性)的,试验(性)的",△
expert,"n.专家,能手 a.熟练的,有经验的;专门的",
expertise,"n.专门知识(或技能等),专长",△
expire,"v.期满,(期限)终止;呼气;断气,死亡",▲
explicit,"a.详述的,明确的;坦率的;显然的",▲
explode,"v.(使)爆炸,(使)爆发",△
exploit,v.开拓;开发;剥削 n.功绩,△
explore,"v.勘探,探测;探究,探索",
explosion,"n.爆炸,爆发",
explosive,"a.爆炸(性)的,爆发(性)的 n.爆炸物,炸药",△
export,"v./n.输出,出口 n.出口商品",
expose,"v.(to)使暴露,受到;使曝光",
exposure,"n.暴露,揭露;方向;陈列;遗弃;照射量",
exquisite,a.优美的，高雅的，精致的；剧烈的，异常的,▲
extend,"v.延长,延伸;扩充;给予;提供;估价",
extension,n.延长;扩大;范围;大小;尺寸;电话分机,△
extensive,"a.广大的,广阔的",
extent,"n.广度,宽度,长度;程度,限度",
exterior,"a.外部的,外面的 n.外部",▲
external,a.外部的;客观的;外国的;表面的;,▲
extinct,a.灭绝的;熄灭了的,△
extinguish,v.熄灭;消灭;结束;压制;使黯然失色;偿清,△
extract,"v./n.拔出,抽出;摘录n.抽取物;精华;选集",△
extraordinary,a.非常的;格外的;意外的;离奇的;临时的,
extravagant,a.奢侈的;过分的;(言行等)放肆的,▲
extreme,"a.末端的,尽头的;极度的 n.极端;最大程度",
eyebrow,n.眉毛,
fable,n.寓言,▲
fabric,n.织物;织品;结构;构造;建筑物,
fabricate,"v.捏造,编造(谎言,借口等);建造,制造",▲
fabulous,a.极好的；极为巨大的；寓言中的，传说中的,▲
facilitate,v.使变得(更)容易;使便利;推动;帮助;促进,△
facility,"n.能力,灵巧,熟练;(pl.)设备,设施,便利条件",▲
faction,"n.派别, 小集团, 派系斗争, 小派系, 内讧",▲
faculty,"n.才能;学院,系;(学院或系的)全体教学人员",▲
fade,"v.褪色;衰减,消失n.淡入(出)n.乏味(平淡)的",▲
faithful,"a.守信的,忠实的,如实的,可靠的；n.信徒",△
fake,n.假货，赝品 a.假的，冒充的 v.伪造；伪装,▲
fame,n.名声;名望;传说；vt使出名;传扬…的名,
famine,"n.饥荒,饥馑",▲
fancy,"n.爱好,迷恋 v.想象,幻想 a.花式的,奇特的",
fantasy,n.幻想，空想；空想的产物，幻想作品,
fare,"n.车费,船费;伙食;乘客 v.过活;进展;经营",▲
fascinate,"v.迷住,强烈吸引",
fashion,"n.流行式样(或货品),风尚,风气;样子,方式",
fasten,"v.扎牢,使固定",▲
fatal,"a.致命的,毁灭性的",▲
fatigue,n./v.(使)疲劳,▲
faulty,a.有错误的，有缺点的，不完善的,
favorable,"a.(favourable)赞许的,有利的,讨人喜欢的",△
fearful,a.可怕的，吓人的；害怕，担心，惊恐,
feasible,a.可行的;切实可行的;行得通的;可用的,▲
feast,"n.节日;宴会；v.款待,请客;参加宴会;(on)享受",▲
feat,n.功绩，伟业，技艺,▲
feature,n.特征;容貌;特色;特写 v.以...为特色,
federal,a.联邦的;联邦制的;联合的;同盟的,
fee,"n.费(会费,学费等);酬金",△
feeble,"a.虚弱的,无力的",▲
feedback,n.反馈;反应;回授,
fell,v.击倒;打倒(疾病等);砍伐a.凶猛的;可怕的,
female,n.女性;女人;雌兽 a.女性的;雌的;柔弱的,
feminine,a.女性的;娇柔的;【语】阴性的,▲
ferry,"n.摆渡;渡船;渡口v.摆渡;渡运(人,车或物等)",▲
fertile,"a.肥沃的,富饶的;能繁殖的",▲
fertilizer,n.(fertiliser)肥料,
feudal,a.封建的;封地的;领地的,▲
fiber,n.(fibre)纤维;构造;纤维制品,
fiction,"n.虚构,编造;小说",△
fierce,"a.凶猛的,残忍的;狂热的,强烈的",▲
file,"n.锉刀;文件,档案 v.锉",△
filter,"n.滤器,滤纸",
finance,"n.财政,金融 v.为…提供资金",△
financial,"a.财政的,金融的",△
finding,"n.发现,发现物;(常pl.)调查/研究结果",
finite,a.有限的;限定的；n.有限物,▲
fireplace,n.壁炉,▲
fitting,"a.适当的,恰当的 n.(常pl.)配件,附件;装配",▲
fixture,n.固定设备;预定日期;比赛时间;定期存款,△
flame,"n.火焰,火苗;热情;光辉 v.发火焰,燃烧",△
flap,"n.垂下物,帽沿,袋盖 n./v.拍打,拍动,飘动",▲
flare,"v./n.闪烁,摇曳; v.勃然大怒,突然燃烧; n.燃烧弹",▲
flash,"n./a.闪光(的) v.发闪光,闪亮;闪现",
flatter,vt.奉承;使高兴;使满意;胜过,
flaw,n.裂缝;缺陷 v.使破裂;使有缺陷,▲
flee,v.逃走;逃避,
fleet,"n.舰队,船队;港湾；v.飞驰,掠过;消磨",▲
flesh,"n.肉,肌肉",△
flexible,"a.柔韧的,易弯曲的,灵活的,能变形的",
fling,"v.(用力地)扔,抛,丢",▲
flock,"n.(一)群,(禽,畜等的)群;大量 v.群集,成群",▲
flour,n.面粉,△
flourish,"n./v.繁荣,茂盛,兴旺",△
flu,n.(influenza)流行性感冒,
fluctuate,v.(使)波动;(使)起伏,▲
fluent,"a.流利的,流畅的",
fluid,"a.流动的,液体的 n.流体,液体",
flush,"v./n.脸红,奔涌,惊飞; n.同花牌; a.洋溢的;富裕的",▲
foam,"v./n.泡沫,起泡沫",△
focus,"n.焦点,(活动,兴趣等的)中心 v.(on)使聚集",
folk,n.人们;民族;亲属 a.民间的,△
footstep,"n.脚步(声),足迹",
fore,ad.在前面 a.先前的; 在前部的 n.前部,△
forecast,"v./n.预测,预报",
forehead,n.前额;(任何事物的)前部,
foremost,"a.最先的;最初的; 主要的 ad.首要地,第一",▲
foresee,"v.预见,预知",
forge,"v.锻造,伪造; 加速；n.锻工车间;锻炉",▲
formal,a.正式的;形式的,
format,"n.(出版物的)开本,版式,格式 vt.设计;安排",
formation,n.形成;构成;组织;构造;编制;塑造,
former,"a.以前的,在前的 pron.前者",△
formidable,a.强大的;令人敬畏的;可怕的;艰难的;杰出的,▲
formula,n.(pl.formulae)公式;规则;分子式;药方,▲
formulate,v. 用公式表示;规划;设计;系统地阐述,△
forth,ad.向前；向外，往外,▲
forthcoming,a.即将到来的;准备好的;乐意帮助的;n.来临,▲
fortnight,n.两星期,▲
forum,"n.论坛,讨论会",
fossil,n.化石,▲
foster,vt.养育;收养;怀抱;鼓励 a.收养的 n.养育者,▲
foul,a.污秽的;邪恶的 v.弄脏;妨害;犯规 n.犯规,▲
foundation,"n.基础,根本,建立,创立;地基,基金,基金会",
fraction,"n.碎片,小部分,一点儿;分数",▲
fracture,"n.裂缝(痕);骨折 v.(使)断裂,(使)折断",▲
fragile,a.易碎的，脆的，易损坏的；虚弱的，脆弱的,△
fragment,"n.碎片,小部分,片断",△
fragrant,a.香的;芬芳的,▲
frame,n.框架;体格;骨架;组织;机构 v.设计;制定,▲
framework,n.构架;框架;结构;组织;机构,
frank,"a.坦白的,直率的",△
fraud,n.欺诈，诈骗；欺骗(行为)；骗子；假货,▲
freight,"n.货物,货运,运费",
frequency,"n.频率,周率",
friction,"n.磨擦,摩擦力",△
fridge,n.(refrigerator的略语)冰箱,
fringe,n.边缘；(窗帘)缘饰；额前垂发 vt.饰…的边,▲
frontier,"n.国境,边境;尖端,新领域",▲
frost,"n.霜,霜冻,严寒",△
frown,v.皱眉,▲
fruitful,"a.多产的;果实累累的,富有成效的",△
frustrate,"vt.挫败,阻挠,使灰心",▲
fry,"v.油煎,油炸; 烧毁（电器）",▲
fulfill,"v.(fulfil)完成,履行,实践,满足",△
fume,"n.(浓烈或难闻的)烟,气;愤怒;v.熏, 冒烟,发怒",△
function,"n.功能,作用;(pl.)职务;函数 v.起作用",△
fund,"n.资金,基金;存款,现款;(知识等的)累积",
fundamental,"a.基础的,基本的 n.(pl.)基本原则,基本原理",
funeral,"n.丧葬,葬礼",△
fur,"n.毛,毛皮",
furious,"a.狂怒的,狂暴的,猛烈的",▲
furnace,"n.炉子,熔炉",▲
furnish,"v.供应,提供;装备,布置",△
furthermore,"ad.而且,此外",
fuse,"n.保险丝,导火线,引信 v.熔化,熔合",△
fuss,"n./v.忙乱,大惊小怪",▲
futile,a.无效的，无用的，无希望的,▲
galaxy,n.星系;(the Galaxy)银河(系);一群显赫的人,△
gallery,"n.长廊,画廊,美术馆",
gallon,n.加仑,△
gallop,"v./n.奔驰,飞奔",▲
gamble,"n./v.投机,冒险;赌博",▲
gang,"n.一帮,一群,一伙",▲
gaol,n.(jail)监狱；(不加冠词)监禁 vt.使…坐牢,▲
gap,n.缺口;差距;空白;缺乏,
garlic,n.蒜，大蒜粉,▲
garment,n.(一件)衣服,▲
gasoline,n.(gasolene)汽油,
gasp,"n.喘息,气喘 v.喘息;气吁吁地说",▲
gauge,"n.标准尺寸;规格;量规,量表;轨迹,口径；v.测量",▲
gaze,"v./n.凝视,注视",△
gear,"n.齿轮,传动装置 v.(to)调整,使适合",△
gender,n.(生理上的)性；(名词、代词等的)性,
gene,n.基因,
generalize,"v.(generalise)归纳,概括;推广,普及",▲
generate,"vt.产生,发生;生殖",△
generator,"n.发电机,发生器",△
generous,"a.宽宏大量的,慷慨的",△
genetic,a.遗传(学)的 n.,
genius,n.天才,△
genuine,"a.真正的,名副其实的",▲
geometry,n.几何(学),
germ,"n.微生物,细菌",
gesture,"n.姿势,姿态,手势 v.做手势",▲
giant,n.巨人 a.巨大的,
gigantic,"a.巨大的,庞大的",△
giggle,vi.／n.痴笑；咯咯地笑 vt.咯咯地笑着说,▲
glamor,n.(glamour)魅力;魔法 vt.迷惑,▲
glare,vi.怒目而视;发射强光 n.强光;怒视;炫耀,
glide,"n./v.溜,滑行;(时间)消逝",▲
glimpse,"n./v.一瞥,瞥见",
glitter,"n.光辉,灿烂 v.闪闪发光;闪耀",▲
global,"a.球形的;全球的,全世界的;全面的",
globe,"n.球体,地球仪;地球,世界",
gloomy,"a.阴暗的,阴沉的,令人沮丧的,阴郁的",△
glorious,"a.壮丽的,辉煌的;光荣的",
glory,"n.光荣,荣誉",
glove,n.手套,△
glow,"v.发热,发光,发红 n.白热",▲
glue,"n.胶,胶水 v.胶合,粘贴",
gorge,"n.咽喉, 胃, 暴食, 峡谷, 障碍物；v.狼吞虎咽",▲
gorgeous,a.华丽的；灿烂的；美丽的；宜人的；棒的,▲
gossip,"n./v.(说)闲话,闲聊",△
governor,"n.统治者,管理者,总督,州(省)长",△
gown,n.长袍，特殊场合穿的长服,▲
grab,v./n.(at)抓(住);夺(得),
grace,"n.优美,文雅;恩惠,恩泽;宽限,缓刑;感恩祷告",△
gracious,"a.亲切的,客气的;宽厚的,仁慈的",▲
gradual,"a.逐渐的,逐步的",
graduate,"n.大学毕业生,研究生 v.大学毕业a.毕了业的",
grain,"n.谷物,谷类;颗粒,细粒",△
gramme,n.(gram)克,
grand,"a.盛大的,豪华的;重大的,主要的",△
grant,"v.同意,准予;授予 n.授予物;津贴;转让证书",▲
graph,"n.图表,曲线图",
graphic,"a.绘画似的, 图解的,生动的",△
grasp,"v./n.抓住,抓紧;掌握,领会",
grateful,"a.(to,for)感激的;感谢的",
gratitude,"n.感激,感谢",▲
grave,"n.坟墓 a.严肃的,庄重的",▲
gravity,"n.重力,引力;严肃,庄重",△
graze,vi.吃青草 vt.放牧;擦伤;掠过 .n.擦伤(处),▲
grease,"n.动物脂,油脂,润滑脂 v.抹油,润滑; 贿赂",▲
greedy,"a.贪吃的,贪婪的,渴望的",▲
greenhouse,n.温室,
grief,n.悲伤，悲痛；悲伤的事，悲痛的缘由,△
grieve,"v.使悲伤,使伤心",▲
grim,a.严酷的，令人害怕的；不愉快的，讨厌的,▲
grin,n./vi.露齿而笑，咧嘴一笑,▲
grind,"v.磨(碎),碾(碎); 压榨; 填鸭",▲
grip,"v./n.紧握,抓紧;掌握",▲
groan,v./n.呻吟,▲
grocer,"n.食品商,杂货商",▲
grope,"n./v.摸索,探索",▲
gross,"a.总的,毛(重)的;粗鲁的,粗俗的 n.总额",△
guarantee,"n.保证,保证书 v.保证,担保",
guidance,"n.引导,指导",△
guideline,n.指导方针，指导原则，准则，标准,
guilt,"n.罪过,内疚",
guilty,"a.(of)有罪的,内疚的",△
gulf,n.海湾,
gum,n.树胶;口香糖,▲
gut,n. 内脏，勇气，剧情,▲
guy,"n.家伙, 人",
gymnasium,n.(gym)体育馆，健身房,
habitat,n.(动物的)栖息地，(植物的)产地,▲
hail,"v.下雹;欢呼,欢迎 n.雹",▲
halt,"n.止步,停步,停止前进 v.止步,(使)停止",△
hamper,"v.妨碍,阻碍,牵制",▲
handful,n.一把;少数;一小撮,▲
handicap,v.妨碍 n.(身体或智力方面的)缺陷;不利条件,▲
handwriting,"n.笔迹,手迹,书法",
handy,"a.手边的,近便的;方便的; 手巧的",△
harassment,n.骚扰，扰乱；烦恼，烦乱,▲
harbor,"n.(harbour)海港;避难所 v.隐匿,窝藏",△
hardship,"n.艰难,困苦",
hardware,"n.五金,金属制品;硬件",
harm,"n./v.伤害,损害,危害",
harmony,"n.协调,和谐;融洽",
harness,"v.治理,利用 n.马具,挽具",▲
harsh,a.粗糙的；(声音)刺耳的；苛刻的，严酷的,▲
haste,"n.匆忙,急速;草率 v.赶快;匆忙",
hasty,"a.匆忙的,仓促的;草率的",
hatch,"v.孵,孵出;策划,图谋 n.舱口,小门",
hatred,"n.憎恨,憎恶,怨恨",▲
haul,"v.拖曳,拖运,用力拖",▲
hazard,"n.危险,冒险,危害 v.冒险,拼命",
heading,n.标题,
headline,"n.大字标题,新闻标题",
headquarters,"n.司令部,指挥部;总部,总局",
heal,"v.治愈,愈合",
heap,"n.(一)堆,大量,许多 v.(up)堆,堆起",▲
hearing,"n.听,倾听;听力;审讯",
heave,v.(用力)举，提，拉；扔；拖；呕吐n.举起,▲
hedge,"n.篱笆,树篱,障碍物 v.用树篱围住",▲
heel,"n.脚后跟,踵,鞋跟",△
heir,n.继承人,▲
helicopter,n.直升(飞)机,
helmet,"n.头盔,钢盔",▲
hemisphere,n.半球,
hence,"ad.从此,今后;因此",▲
henceforth,ad.今后,△
herb,n.药草，(调味用的)香草，草本植物,▲
herd,"n.群,兽群,牛群 v.放牧,群集",▲
heritage,"n.遗产,继承物;传统",
heroic,a.英雄的，英勇的，崇高的,
heroin,n.海洛因,△
heroine,n.女英雄;女主角,△
hesitate,"v.犹豫,踌躇;含糊,支吾",
hierarchy,n.等级制度；统治集团，领导层,▲
highlight,"v.使显著,使突出;强调 n.最精彩的部分",
hijack,v.劫持，劫机，拦路抢劫；揩油,▲
hike,"n.徒步旅行,远足; 增加；vi.徒步旅行；vt.提高",▲
hinder,"v.(from)阻止,妨碍 a.后面的",△
hinge,"n.合页,铰链; 主旨,关键;  vi.(on/upon)依…而定",▲
hint,"n.暗示,提示,线索 v.暗示,示意;(at)间接提及",▲
hip,n.臀部，髋；屋脊,▲
hitherto,"ad.到目前为止,迄今",▲
hoist,"v.举起,升起,吊起",▲
holder,"n.持有者,占有者;(台,架等)支持物",
holy,"a.神圣的,圣洁的",△
homogeneous,a.同种类的，同性质的，有相同特征的,
honorable,"a.(honourable)可敬的;荣誉的,光荣的",
hook,"n.钩,吊钩,钩状物;困境 v.钩住,上瘾",▲
hop,v.人单足跳;跳上(车等) n.蹦跳;短程飞行,▲
horizon,"n.地平线;眼界,见识",
horizontal,a.地平线的;水平的,
horn,"n.(牛羊等的)角;号,喇叭;角状物;角制品",▲
horrible,a.令人恐惧的，可怕的；极讨厌的，糟透的,
hose,"n.水龙带,软管;长统袜 v.用软管(淋浇,冲洗)",▲
hospitality,"n.好客,殷勤,款待",
host,"n.主人;旅店老板;节目主持人;(of)一大群,许多",△
hostage,n.人质,▲
hostess,"n.女主人,女主持人",
hostile,"a.敌对的,敌方的,敌意的",▲
hound,n.猎狗；卑鄙的人 vt.用猎狗追，追逐,▲
household,n.家庭，家人 a.家庭(务)的，家常的,△
hover,vi.(鸟)盘旋，翱翔，(人)逗留在附近徘徊,▲
howl,n.怒吼，嗥叫 vi.(风等)怒吼，咆哮,▲
huddle,n./v.拥挤;聚集v.(up)(因寒冷、害怕而)缩成一团,▲
hum,v.哼曲子；发嗡嗡声；忙碌n.嗡嗡声，嘈杂声,▲
humanity,"n.人类,人性,人情;(pl.)人文科学",
humble,"a.谦卑的,恭顺的;地位低下的 v.降低,贬低",▲
humid,"a.湿的,湿气重的",
humidity,"n.湿气,湿度",
humiliate,v.使羞辱，使丢脸,▲
hurl,vt.猛投，力掷；大声叫骂,▲
hurricane,n.飓风,
hut,"n.小屋,棚屋",▲
hydrogen,n.氢,△
hypocrisy,n.伪善，虚伪,▲
hypothesis,"n.假说,假设,前提",△
hysterical,"a.情绪异常激动的,歇斯底里的",▲
ideal,a.理想的;空想的;理想主义的;唯心的 n.理想,
identical,"a.(to.with)同一的,同样的",▲
identification,"n.识别,鉴别;证件;认同",△
identify,"v.识别,鉴别;(with)把…和…看成一样",△
identity,n.身份;本体;特征;同一(性);一致;国籍;等式,▲
ideology,n.意识形态，(政治或社会的)思想意识,▲
idiot,n.白痴；极蠢的人；笨蛋,△
idle,"a.空闲的;懒散的;无用的 v.空费,虚度",▲
ignite,"v.点火,引燃",▲
ignorance,"n.无知,愚昧;不知道",
ignorant,"a.无知的,愚昧的;不知道的",
illegal,"a.不合法的,非法的",
illiterate,"a.文盲的,未受教育的",▲
illuminate,vt.照亮，照明；用灯光装饰；说明，阐释,▲
illustrate,"v.举例说明,阐明;图解,加插图",▲
illustration,n.说明；例证，插图；举例说明,
image,n.形象，声誉；印象；像；形象的描述，比喻,
imaginary,"a.想象的,虚构的",
imagination,n.想象(力)；空想，幻觉；想象出来的事物,
imaginative,"a.富有想象力的,爱想象的",
imitate,"v.模仿,仿效;仿造,伪造",△
imitation,"n.模仿,仿效;仿制;仿造品",
immense,"a.广大的,巨大的;<口>非常好的",▲
immerse,v.使沉浸在;使浸没,▲
immigrant,"a.(从国外)移来的,移民的 n.移民,侨民",
immune,"a.免疫的,有免疫力的;有受影响的;豁免的",
impact,"n.冲击,碰撞;影响 v.影响;挤入,压紧",
impair,"v.损害,损伤;削弱,减少",▲
impart,vt.传授，给予；告知，通知,▲
impatient,"a.不耐烦的,急躁的",
imperative,n.命令;需要;规则;祈使语气a.强制的;紧急的,▲
imperial,a.帝国的，帝王的；威严的；(度量衡)英制的,
impetus,"n.推动(力),促进",▲
implement ,"n.(pl.)工具,器具 v.贯彻,实现",▲
implication,n.含意，暗示，暗指；牵连,
implicit,a.含蓄的;(in)固有的;无疑问的;绝对的,▲
imply,"v.意指,含…意思,暗示",
import,"v./n.进口,输入,(pl.)进口商品;要旨,含意",
impose,v.征(税);(on)把…强加给,
impress,"v.(on)印,盖印;留下印象,引人注目",
impression,"n.印象,感想;盖印,压痕;一版,一次印刷",
impressive,"a.给人深刻印象的,感人的",
improvement,"n.改进,进步,增进;改进措施",
impulse,"v.推动 n.推动;冲动,刺激",
incentive,n.刺激;动力;鼓励;诱因;动机,▲
incidence,n.影响程度，影响范围；发生率,
incident,"n.事件,事变；a.(to)随带的",
incidentally,"ad.附带地,顺便提及",▲
incline,"v.(使)倾斜;(使)倾向于 n.斜坡,斜面",▲
inclusive,"a.(of)包括的,包含的;范围广的",
incorporate,"v.合并,纳入,结合 a.合并的",△
incredible,"a.不可相信的,惊人的,不可思议的",
incur,"v.招致,惹起,遭受",▲
independence,"n.独立,自主",
independent,"a.(of)独立的,自主的",
index,"n.(pl.indexes,indices)索引 v.附以索引",
indicate,"v.指出,指示;表明,暗示",
indication,"n.指出,指示;表明,暗示",
indicative,"a.(of)指示的,暗示的",
indifferent,"a.冷漠的,不关心的,不积极的",▲
indignant,"a.愤慨的,愤慨不平的",▲
indignation,"n.愤怒,愤慨",▲
indispensable,"a.(to,for)必不可少的,必需的",▲
individual,"a.个人的,单独的;独特的 n.个人,个体",
induce,"v.引诱,劝使;引起,导致;感应",▲
indulge,v.放任，纵容，沉溺；使(自己)纵情享受,▲
industrial,"a.工业的,产业的",
industrialize,v.(industrialise)(使)工业化,
inertia,"n.不活动,惰性;惯性",▲
inevitable,"a.不可避免的,必然发生的；惯常的",▲
infant,"n.婴儿,幼儿；～-school   幼儿园",△
infect,vt.传染，感染；影响(思想等),
infer,"v.推论,推断",▲
inference,"n.推论,推理,推断;结论",
inferior,"a.下等的,下级的;劣等的,差的 n.下级,晚辈",△
infinite,"a.无限的,无穷的 n.无限",△
inflation,n.通货膨胀,△
influence,"n.(on)影响,感化;势力,权势 v.影响,感化",
influential,a.有影响的;有权势的,
inform,"v.(of,about)通知,告诉,报告;告发,告密",
infrared,a./n.红外线(的),
infrastructure,n.基础结构，基础设施,▲
ingenious,a.机敏的;有独创性的;精致的;精巧制成的,▲
ingradient,n.(混合物的)组成部分，配料；成份，要素,△
inhabit,"vt.居住于,存在于;栖息于",▲
inhabitant,"n.居民,住户",▲
inhale,v.吸入(气体等)，吸(烟),
inherent,"a.固有的,内在的,天生的",▲
inherit,vt.继承(金钱等)，经遗传而得(性格、特征),△
inhibit,vt.抑制，约束,▲
initial,"a.最初的,开头的;词首的 n.词首大写字母",
initiate,vt.开始，创始，发动；启蒙，使入门；引入,△
initiative,"a.创始的,起始的 n.第一步,创始,主动精神",
inject,vt.注射(药液等)；注入,
injure,"v.损害,损伤,伤害",
injury,n.伤害，损害,
inland,"a./ad.国内,内地,内陆",▲
inlet,"n.水湾,小湾;进口,入口",▲
innocent,"a.(of)清白的,无罪的;无害的;单纯的,无知的",
innovation,n.改革，革新；新观念，新方法，新发明,
innumerable,"a.无数的,数不清的",△
input,n./v.输入,
inquiry,"n.(enquiry)询问,打听,调查",△
insect,n.昆虫,
insert,"v.插入,嵌入;登载 n.插入物",
insight,"n.洞察力,见识",
inspect,"vt.检查,调查,视察",
inspiration,"n.灵感;鼓舞,激励",△
inspire,"vt.鼓舞,激起;使产生灵感",
instability, n.不稳定(性),
installation,"n.安装,设置;装置,设备",
installment,n.(instalment)分期付款；(连载的)一期,▲
instance,"n.例子,事例,例证",
instant,"a.立即的;紧迫的;(食品)速溶的 n.瞬间,时刻",
instantaneous,"a.瞬间的,即刻的",▲
instinct,"n.本能,直觉,天性",
institute,"n.学会,研究所;学院 v.设立,设置,制定",
institution,n.公共机构;协会;学校;研究所;制度;惯例,▲
instruct,"v.教,教授;命令,指示;通知",
instrument,"n.工具,仪器,器械;乐器",
instrumental,a.仪器的;器械的;乐器的;起作用的;有帮助的,△
insulate,"vt.隔离,孤立;使绝缘,使绝热",▲
insult,"vt./n.侮辱,凌辱",▲
insurance,"n.保险,保险费,保险业",
insure,"vt.保险,给…保险;保证",
intact,"a.完整无缺的,未经触动的,未受损伤的",▲
integral,a.构成整体所必需的;完整的,▲
integrate,"v.(into,with)(使)成为一体,(使)结合在一起",△
integrity,"n.正直,诚实;完整,完全",▲
intellectual,n.知识分子 a.智力的，理智的，有理解力的,△
intelligence,"n.智力,聪明;理解力;情报,消息,报导",
intelligent,"a.聪明的,明智的,理智的",
intelligible,a.可理解的，明白易懂的，清楚的,▲
intend,"vt.想要,打算,企图",
intense,"a.强烈的,剧烈的;热烈的,热情的",
intensity,"n.强烈,剧烈;强度",
intensive,"a.加强的,集中的,深入细致的,精耕细作的",▲
intention,"n.意图,意向,目的",
interact,"v.互相作用,互相影响",
intercourse,"n.交流,交往,交际,性交",
interface,n.接合部位，分界面 v.(使)互相联系,
interfere,"v.(in)干涉,干预;(with)妨碍,打扰",
interim,"a.中间的,暂时的,临时的 n.过渡时期,暂定",▲
interior,"a.内部的,里面的 n.内部,内地",
intermediate,"a.中间的,居间的;中级的 n.中间体,媒介物",▲
intermittent,"a.间歇的,断断续续的",▲
internal,"a.内部的,内的;国内的,内政的",
interpret,"vt.解释,说明;口译",
interrupt,"v.中断,遮断,阻碍;打断(话),打扰",
intersection,n.相交，交叉；道路交叉口，十字路口,
interval,"n.间隔,间歇;(幕间或工间)休息",▲
intervene,"v.(in)干涉,干预;插入,介入",
interview,"v./n.接见,会见;采访;面试",
intimate,"a.亲密的,密切的 n.熟友,熟人",▲
intimidate,vt.胁迫，威胁(某人做某事),▲
intricate,"a.复杂的,错综的,难以理解的",▲
intrigue,"n.阴谋v.密谋,私通;激起…的兴趣;诡计取得",▲
intrinsic,a.(指价值、性质)固有的，本质的，内在的,▲
introduction,"n.(to)介绍;传入,引进;导言,导论,绪论",
intrude,"vi.闯入,侵入vt.把(思想等)强加于人;强挤入",△
intuition,n.直觉，直观；凭直觉而知的事物,▲
invade,"vt.入侵,侵略,侵袭,侵扰",△
invalid,"n.病人,伤残人 a.有病的,伤残的;无效的",
invaluable,"a.非常宝贵的,无价的",
invariably,ad.不变地，永恒地，总是,△
invasion,"n.入侵,侵略,侵犯",
inventory,"n.详细目录,存货,财产清册,总量",▲
inverse,"a.相反的,倒转的,反转的 n.相反之物 v.倒转",
invert,"v.倒置,倒转,颠倒",
invest,"vt.投资,投入(精力、时间等)",
investigate,"v.调查,调查研究",
investment,"n.投资,投资额",
invisible,"a.看不见的,无形的",
involve,"v.卷入,陷入,连累;包含,含有,涉及",
irony,"n.反话, 讽刺, 讽刺之事",▲
irrespective,"a.不顾的,不考虑的,无关的",△
irrigate,vt.灌溉，修水利 vi.进行灌溉,△
irritate,"vt.激怒,恼火,使急躁",△
isle,n.小岛(用于诗歌中),△
isolate,"vt.隔离,孤立",
issue,"n.问题,争端,发行(物),期号 vt.发行,流出",△
item,n.条(款)，项目；一则(新闻)，(戏剧的)节目,△
jargon,n.行话,▲
jaw,"n.颌,颚",△
jealous,"a.(of)妒忌的;猜疑的,警惕的",
jet,"n.喷气发动机,喷气式飞机;喷口 v.喷出,喷射",
jewel,"n.宝石,宝石饰物",
jog,v.慢跑,▲
joint,"n.接合处,接头;关节a.联合的,共同的,连接的",
jolly,"a.欢乐的,高兴的",▲
journal,"n.定期刊物,杂志,日报;日志,日记",
journalist,"n.记者,新闻工作者",
judgement,"n.(judgment)审判,判决;判断(力);看法,意见",
judicial,a.司法的，法庭的，审判的；明断的，公正的,▲
